Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls
328-2478,116.0,0.0,229.3,93.0,38.98,184.5,100.0,15.68,168.2,91.0,7.57,8.8,3.0,2.38,2.0
328-2647,81.0,0.0,203.5,89.0,34.6,289.6,69.0,24.62,212.9,71.0,9.58,8.7,3.0,2.35,3.0
328-2982,95.0,0.0,69.4,79.0,11.8,190.8,109.0,16.22,219.9,102.0,9.9,8.9,5.0,2.4,0.0
328-3266,97.0,0.0,239.8,125.0,40.77,214.8,100.0,18.26,143.3,81.0,6.45,8.7,5.0,2.35,2.0
328-3402,125.0,0.0,191.6,115.0,32.57,205.6,108.0,17.48,210.2,123.0,9.46,9.2,3.0,2.48,2.0
328-4231,60.0,31.0,191.8,75.0,32.61,267.8,135.0,22.76,200.5,62.0,9.02,12.8,3.0,3.46,2.0
328-5050,58.0,0.0,243.1,105.0,41.33,231.4,108.0,19.67,180.9,120.0,8.14,7.8,4.0,2.11,2.0
328-5188,117.0,0.0,287.4,118.0,48.86,259.6,84.0,22.07,153.2,86.0,6.89,10.0,3.0,2.7,1.0
328-6011,94.0,0.0,234.4,103.0,39.85,279.3,109.0,23.74,234.2,121.0,10.54,2.0,2.0,0.54,1.0
328-6289,139.0,23.0,157.6,129.0,26.79,247.0,96.0,21.0,259.2,112.0,11.66,13.7,2.0,3.7,0.0
328-6770,93.0,0.0,151.4,89.0,25.74,186.4,76.0,15.84,172.5,120.0,7.76,10.9,3.0,2.94,0.0
328-7209,149.0,20.0,198.9,77.0,33.81,274.0,88.0,23.29,190.7,76.0,8.58,14.3,9.0,3.86,1.0
328-7252,77.0,0.0,185.9,95.0,31.6,212.0,98.0,18.02,282.3,81.0,12.7,11.3,4.0,3.05,3.0
328-7833,98.0,0.0,227.1,116.0,38.61,120.5,103.0,10.24,117.0,102.0,5.27,4.7,4.0,1.27,5.0
328-8147,120.0,27.0,153.5,84.0,26.1,194.0,73.0,16.49,256.5,94.0,11.54,10.2,7.0,2.75,5.0
328-8179,90.0,27.0,156.7,51.0,26.64,236.5,118.0,20.1,123.2,101.0,5.54,12.6,6.0,3.4,2.0
328-8230,28.0,0.0,180.8,109.0,30.74,251.6,58.0,24.55,191.9,91.0,8.64,14.1,6.0,3.81,2.0
328-8747,162.0,0.0,135.2,98.0,22.98,242.0,107.0,20.57,246.9,96.0,9.1,10.2,2.0,2.75,2.0
328-8808,109.0,0.0,137.0,128.0,23.29,217.0,116.0,18.45,182.1,86.0,8.19,10.0,5.0,2.7,2.0
328-8980,37.0,0.0,239.9,120.0,40.78,261.6,88.0,23.23,207.1,88.0,9.32,8.9,4.0,2.4,2.0
328-9006,78.0,0.0,139.2,140.0,23.66,191.4,113.0,16.27,286.5,125.0,12.89,11.8,3.0,3.19,3.0
328-9267,97.0,32.0,90.0,87.0,15.3,276.3,113.0,23.49,185.2,107.0,8.33,8.6,6.0,2.32,2.0
328-9315,109.0,35.0,230.5,116.0,39.19,265.8,130.0,22.59,269.7,69.0,12.14,10.6,6.0,2.86,5.0
328-9797,63.0,0.0,261.8,69.0,44.51,245.0,135.0,20.83,202.1,94.0,9.09,14.7,4.0,3.97,0.0
328-9869,194.0,0.0,162.3,88.0,27.59,213.7,118.0,18.16,192.1,81.0,8.64,10.9,2.0,2.94,0.0
329-1410,87.0,30.0,262.8,114.0,44.68,215.8,130.0,18.34,154.8,88.0,6.97,7.8,2.0,2.11,0.0
329-1955,108.0,0.0,293.0,88.0,49.81,160.6,101.0,13.65,143.9,87.0,6.48,10.0,6.0,2.7,2.0
329-2045,96.0,0.0,144.0,102.0,24.48,224.7,73.0,19.1,227.7,91.0,10.25,10.0,7.0,2.7,1.0
329-2204,99.0,33.0,179.1,93.0,30.45,238.3,102.0,20.26,165.7,96.0,7.46,10.6,1.0,2.86,2.0
329-2388,122.0,0.0,144.2,87.0,24.51,212.2,74.0,18.04,169.3,87.0,7.62,9.5,4.0,2.57,0.0
329-2786,161.0,0.0,194.2,106.0,33.01,249.4,105.0,21.2,254.9,129.0,11.47,12.9,1.0,3.48,1.0
329-2789,86.0,0.0,226.3,88.0,38.47,223.0,107.0,18.96,255.6,92.0,11.5,13.0,3.0,3.51,4.0
329-2918,80.0,0.0,149.8,123.0,25.47,276.3,75.0,23.49,241.4,75.0,10.86,10.9,7.0,2.94,2.0
329-3222,119.0,29.0,117.8,66.0,20.03,256.8,114.0,21.83,147.6,76.0,6.64,7.6,3.0,2.05,3.0
329-3458,118.0,39.0,91.5,125.0,15.56,219.9,113.0,18.69,229.0,99.0,10.31,12.7,8.0,3.43,2.0
329-4391,193.0,0.0,170.9,124.0,29.05,132.3,95.0,11.25,112.9,89.0,5.08,11.6,3.0,3.13,1.0
329-4474,137.0,19.0,175.3,96.0,29.8,241.3,146.0,20.51,211.4,109.0,9.51,7.8,2.0,2.11,0.0
329-5114,123.0,0.0,257.9,92.0,43.84,211.6,71.0,17.99,189.3,104.0,8.52,9.4,2.0,2.54,2.0
329-5377,74.0,0.0,102.7,89.0,17.46,149.3,100.0,12.69,188.1,114.0,8.46,11.0,5.0,2.97,0.0
329-5400,122.0,30.0,230.1,108.0,39.12,287.6,76.0,24.45,177.1,85.0,7.97,6.9,3.0,1.86,2.0
329-6144,81.0,0.0,154.5,84.0,26.27,216.2,91.0,18.38,229.8,82.0,10.34,13.7,3.0,3.7,1.0
329-6191,41.0,37.0,239.8,110.0,40.77,221.9,115.0,18.86,189.1,100.0,8.51,7.3,1.0,1.97,2.0
329-6192,66.0,40.0,141.7,87.0,24.09,268.3,89.0,22.81,241.3,68.0,10.86,8.5,7.0,2.3,0.0
329-6562,138.0,0.0,170.5,87.0,28.99,118.2,116.0,10.05,187.9,101.0,8.46,11.2,7.0,3.02,2.0
329-6603,65.0,0.0,129.1,137.0,21.95,228.5,83.0,19.42,208.8,101.0,9.4,12.7,6.0,3.43,4.0
329-6731,123.0,0.0,123.2,104.0,20.94,190.0,117.0,16.15,170.3,95.0,7.66,12.9,5.0,3.48,4.0
329-7102,63.0,0.0,132.9,122.0,22.59,67.0,62.0,5.7,160.4,121.0,7.22,9.9,2.0,2.67,3.0
329-7347,121.0,0.0,170.4,108.0,28.97,350.5,68.0,29.79,297.0,87.0,13.37,11.2,3.0,3.02,0.0
329-8056,95.0,23.0,160.3,87.0,27.25,202.4,101.0,17.2,191.1,122.0,8.6,7.4,3.0,2.0,0.0
329-8115,86.0,16.0,145.7,88.0,24.77,191.0,129.0,16.24,215.5,82.0,9.7,11.3,7.0,3.05,0.0
329-8436,160.0,0.0,97.5,113.0,16.58,268.1,69.0,22.79,255.3,62.0,11.49,13.2,4.0,3.56,3.0
329-8638,90.0,22.0,124.5,94.0,21.17,231.7,90.0,19.69,252.15,108.0,10.0,6.4,12.0,1.73,1.0
329-8669,156.0,0.0,237.7,122.0,40.41,181.5,91.0,15.43,185.7,151.0,8.36,7.7,4.0,2.08,1.0
329-8788,24.0,0.0,235.6,132.0,40.05,115.9,129.0,9.85,185.4,136.0,8.34,16.2,2.0,4.37,0.0
329-9001,147.0,0.0,157.0,79.0,26.69,103.1,94.0,8.76,211.8,96.0,9.53,7.1,6.0,1.92,0.0
329-9046,74.0,0.0,148.5,102.0,25.25,146.5,42.0,12.45,289.2,83.0,13.01,9.9,6.0,2.67,3.0
329-9067,100.0,0.0,249.8,109.0,42.47,242.4,106.0,20.6,231.8,78.0,10.43,11.6,4.0,3.13,0.0
329-9364,148.0,0.0,202.0,102.0,34.34,243.2,128.0,20.67,261.3,90.0,11.76,10.9,3.0,2.94,1.0
329-9517,47.0,27.0,165.0,89.0,28.05,127.3,118.0,10.82,284.4,95.0,12.8,7.7,4.0,2.08,2.0
329-9667,115.0,0.0,251.3,69.0,42.72,252.5,96.0,21.46,118.3,112.0,5.32,9.9,1.0,2.67,3.0
329-9689,102.0,0.0,224.2,81.0,38.11,243.3,90.0,20.68,147.8,66.0,6.65,12.0,8.0,3.24,3.0
329-9847,43.0,0.0,251.5,105.0,42.76,212.8,104.0,18.09,157.8,67.0,7.1,9.3,4.0,2.51,0.0
330-1175,106.0,33.0,81.6,120.0,13.87,235.6,85.0,20.03,150.9,113.0,6.79,9.9,4.0,2.67,1.0
330-1627,87.0,33.0,125.0,99.0,21.25,235.3,81.0,20.0,215.3,95.0,9.69,10.2,7.0,2.75,2.0
330-1835,67.0,0.0,171.7,80.0,29.19,110.4,81.0,9.38,195.4,101.0,8.79,11.9,4.0,3.21,2.0
330-2635,57.0,0.0,115.0,65.0,19.55,122.3,96.0,10.4,245.0,75.0,11.03,6.4,1.0,1.73,0.0
330-2662,107.0,27.0,283.4,104.0,48.18,224.1,152.0,19.05,241.3,63.0,10.86,14.4,7.0,3.89,2.0
330-2693,112.0,0.0,161.9,138.0,27.52,200.9,114.0,17.08,134.0,134.0,6.03,10.7,4.0,2.89,1.0
330-2849,43.0,0.0,241.9,101.0,41.12,129.4,121.0,11.0,264.8,104.0,11.92,5.9,3.0,1.59,1.0
330-2881,96.0,27.0,261.3,96.0,32.39,220.9,101.0,18.78,179.4,97.0,8.07,11.3,2.0,3.05,1.0
330-3008,80.0,0.0,220.0,114.0,37.4,207.7,76.0,17.65,168.4,137.0,7.58,12.1,3.0,3.27,2.0
330-3429,183.0,0.0,116.7,92.0,19.84,213.8,112.0,18.17,214.3,112.0,9.64,9.7,6.0,2.62,2.0
330-3589,137.0,0.0,174.4,120.0,29.65,156.3,98.0,13.29,136.5,121.0,6.14,10.2,5.0,2.75,0.0
330-4364,130.0,0.0,132.4,81.0,22.51,200.3,110.0,17.03,202.5,103.0,9.11,6.0,1.0,1.62,2.0
330-4419,107.0,0.0,157.1,79.0,26.71,162.6,124.0,13.82,150.0,138.0,6.75,12.1,6.0,3.27,1.0
330-4914,106.0,0.0,52.2,106.0,8.87,220.1,113.0,18.71,112.3,95.0,5.05,11.4,2.0,3.08,2.0
330-4978,80.0,0.0,268.7,120.0,45.68,301.0,147.0,25.59,167.0,140.0,7.52,5.8,1.0,1.57,2.0
330-5168,63.0,49.0,214.9,86.0,36.53,198.2,89.0,16.85,170.8,139.0,7.69,8.2,5.0,2.21,0.0
330-5255,104.0,0.0,130.5,77.0,22.19,131.2,117.0,23.23,264.7,63.0,11.91,13.0,6.0,3.51,0.0
330-5462,108.0,0.0,103.0,129.0,17.51,242.3,103.0,20.6,170.2,89.0,7.66,7.9,3.0,2.13,1.0
330-5824,137.0,0.0,258.0,112.0,43.86,246.5,117.0,20.95,173.2,100.0,7.79,10.9,3.0,2.94,0.0
330-6165,99.0,0.0,95.4,105.0,16.22,207.2,101.0,17.61,136.0,117.0,6.12,5.6,5.0,1.51,1.0
330-6208,123.0,0.0,150.0,98.0,25.5,89.8,95.0,7.63,326.0,91.0,14.67,10.9,3.0,3.0,3.0
330-6436,50.0,31.0,302.7,93.0,51.46,240.5,119.0,20.44,193.9,103.0,8.73,13.6,14.0,3.67,3.0
330-6626,75.0,0.0,166.7,113.0,28.34,148.3,122.0,12.61,186.9,121.0,8.41,10.1,3.0,2.73,3.0
330-6630,165.0,0.0,207.7,109.0,35.31,164.8,94.0,14.01,54.5,91.0,2.45,7.9,3.0,2.13,0.0
330-7137,71.0,0.0,186.1,114.0,31.64,198.6,140.0,16.88,206.5,80.0,9.29,13.8,5.0,3.73,4.0
330-7483,86.0,0.0,176.3,79.0,29.97,259.2,97.0,22.03,287.4,78.0,12.93,6.2,3.0,1.67,0.0
330-7486,67.0,0.0,138.9,65.0,23.61,208.9,109.0,17.76,232.4,82.0,10.46,9.2,3.0,2.48,2.0
330-7754,91.0,0.0,145.0,89.0,24.65,175.8,102.0,14.94,223.7,151.0,10.07,16.7,3.0,4.51,2.0
330-8142,79.0,0.0,144.0,90.0,24.48,135.8,91.0,11.54,212.4,129.0,9.56,13.0,4.0,3.51,1.0
330-8173,141.0,37.0,258.6,84.0,43.96,251.6,100.0,18.87,326.4,97.0,14.69,11.2,5.0,3.02,0.0
330-8351,60.0,0.0,183.0,110.0,32.39,206.7,93.0,17.57,203.8,119.0,9.17,10.9,6.0,3.0,1.0
330-9294,181.0,27.0,190.3,93.0,32.35,249.0,127.0,21.17,215.7,82.0,9.71,10.6,4.0,2.86,1.0
330-9354,68.0,0.0,249.9,127.0,42.48,254.5,118.0,21.63,273.2,98.0,12.29,8.9,6.0,2.4,2.0
330-9833,76.0,0.0,198.3,130.0,33.71,217.1,86.0,18.45,188.4,96.0,8.48,12.5,3.0,3.38,0.0
331-1391,149.0,0.0,242.5,83.0,41.23,245.4,97.0,20.86,219.6,80.0,9.88,10.0,3.0,2.7,3.0
331-2144,1.0,26.0,208.0,115.0,35.36,185.0,113.0,15.73,252.15,144.0,8.0,8.1,9.0,2.19,1.0
331-3174,131.0,39.0,69.1,122.0,11.75,101.3,136.0,8.61,104.8,94.0,4.72,9.1,4.0,2.46,0.0
331-3202,33.0,0.0,213.9,88.0,36.36,239.8,119.0,20.38,148.7,71.0,6.69,9.8,14.0,2.65,2.0
331-3698,174.0,0.0,124.3,76.0,21.13,277.1,112.0,23.55,250.7,115.0,11.28,15.5,5.0,4.19,3.0
331-3842,59.0,0.0,153.6,92.0,26.11,205.5,88.0,17.47,114.5,89.0,5.15,12.5,10.0,3.38,1.0
331-4184,87.0,0.0,238.0,97.0,40.46,164.5,97.0,13.98,282.5,132.0,12.71,10.6,6.0,2.86,2.0
331-4807,80.0,0.0,203.7,92.0,34.63,216.4,97.0,18.39,154.2,66.0,6.94,7.6,5.0,2.05,2.0
331-4902,131.0,36.0,214.2,115.0,36.41,161.7,117.0,13.74,264.7,102.0,11.91,9.5,4.0,2.57,3.0
331-5138,22.0,0.0,110.3,107.0,18.75,166.5,93.0,14.15,202.3,96.0,9.1,9.5,5.0,2.57,0.0
331-5919,56.0,0.0,137.2,102.0,23.32,165.9,119.0,14.1,182.3,72.0,8.2,14.3,4.0,3.86,1.0
331-5962,172.0,47.0,274.9,102.0,46.73,186.6,118.0,15.86,245.0,123.0,11.03,8.8,2.0,2.38,1.0
331-5999,129.0,36.0,192.8,103.0,32.78,177.0,83.0,15.05,216.5,118.0,9.74,16.4,5.0,4.43,1.0
331-6229,49.0,28.0,214.4,78.0,36.45,235.2,100.0,23.23,206.2,107.0,9.28,8.0,13.0,2.16,3.0
331-6270,66.0,0.0,118.0,133.0,20.06,248.1,99.0,21.09,214.4,122.0,9.65,5.3,5.0,1.43,1.0
331-6629,138.0,0.0,169.3,82.0,28.78,217.9,147.0,18.52,184.2,77.0,8.29,9.4,9.0,2.54,1.0
331-7342,55.0,8.0,235.3,104.0,37.83,171.5,94.0,14.58,377.5,114.0,16.99,9.7,2.0,2.62,1.0
331-7425,116.0,0.0,215.4,104.0,36.62,204.8,79.0,17.41,278.5,109.0,12.53,12.6,5.0,3.4,3.0
331-8462,127.0,0.0,96.0,117.0,16.32,177.0,68.0,15.05,162.2,127.0,7.3,9.7,4.0,2.62,3.0
331-8484,87.0,39.0,82.6,113.0,14.04,224.4,63.0,19.07,163.6,88.0,7.36,9.5,1.0,2.57,3.0
331-8713,43.0,0.0,135.8,125.0,23.09,163.2,88.0,13.87,229.8,106.0,10.34,12.6,3.0,3.4,0.0
331-8909,121.0,35.0,68.7,95.0,11.68,209.2,69.0,17.78,197.4,42.0,9.1,11.4,4.0,3.08,1.0
331-9149,139.0,0.0,196.0,135.0,32.39,186.0,146.0,15.81,153.0,92.0,6.89,9.8,1.0,2.65,3.0
331-9293,74.0,0.0,155.7,116.0,26.47,173.7,63.0,14.76,257.4,97.0,11.58,8.1,4.0,2.19,0.0
331-9861,100.0,26.0,153.7,115.0,26.13,137.8,146.0,11.71,213.5,104.0,9.61,15.9,5.0,4.29,1.0
332-1060,41.0,0.0,143.6,117.0,24.41,152.4,108.0,12.95,194.4,110.0,8.75,8.6,3.0,2.32,1.0
332-1109,173.0,0.0,191.4,114.0,32.54,168.5,138.0,14.32,109.3,99.0,4.92,10.3,3.0,2.78,1.0
332-1494,96.0,0.0,97.6,98.0,16.59,105.5,118.0,8.97,220.2,105.0,9.91,11.6,9.0,3.13,1.0
332-1502,46.0,0.0,90.4,108.0,15.37,276.2,77.0,23.48,146.5,101.0,6.59,12.7,2.0,3.43,1.0
332-1690,110.0,0.0,192.6,102.0,32.74,178.9,118.0,15.21,214.6,74.0,9.66,9.4,4.0,2.54,1.0
332-2126,123.0,0.0,163.1,119.0,27.73,249.4,51.0,21.2,168.2,77.0,7.57,9.0,10.0,2.43,1.0
332-2137,80.0,0.0,105.8,110.0,17.99,43.9,88.0,3.73,189.6,87.0,8.53,13.1,5.0,3.54,0.0
332-2258,86.0,38.0,123.0,158.0,20.91,133.9,119.0,11.38,138.2,103.0,6.22,13.3,4.0,3.59,1.0
332-2275,71.0,0.0,185.0,84.0,31.45,232.5,129.0,19.76,191.1,82.0,8.6,14.9,4.0,4.02,3.0
332-2462,39.0,0.0,60.4,158.0,10.27,306.2,120.0,26.03,123.9,46.0,5.58,12.4,3.0,3.35,1.0
332-2650,78.0,0.0,103.5,115.0,17.6,117.9,102.0,10.02,201.0,94.0,9.05,12.0,3.0,3.24,4.0
332-2889,143.0,0.0,167.8,72.0,28.53,211.0,99.0,17.94,153.5,109.0,6.91,10.5,6.0,2.84,4.0
332-2965,45.0,0.0,159.8,91.0,27.17,120.4,86.0,10.23,163.0,93.0,7.34,10.6,3.0,2.86,2.0
332-3381,138.0,0.0,87.6,112.0,14.89,266.9,107.0,22.69,214.6,104.0,9.66,9.8,10.0,2.65,2.0
332-3544,47.0,30.0,196.6,93.0,33.42,241.4,140.0,20.52,226.0,118.0,10.17,12.9,4.0,3.48,2.0
332-3617,88.0,0.0,181.5,116.0,30.86,187.0,119.0,15.9,220.3,96.0,9.91,10.5,7.0,2.84,1.0
332-3642,124.0,0.0,131.8,82.0,22.41,284.3,119.0,24.17,305.5,101.0,13.75,11.3,2.0,3.05,1.0
332-3693,87.0,0.0,124.3,91.0,21.13,173.4,105.0,14.74,256.3,109.0,11.53,7.5,5.0,2.03,3.0
332-3804,107.0,0.0,86.8,95.0,14.76,108.1,85.0,9.19,204.3,87.0,9.19,13.2,3.0,3.56,1.0
332-4289,118.0,0.0,136.1,120.0,23.14,204.2,103.0,17.36,228.2,90.0,10.27,11.3,4.0,3.05,1.0
332-4291,93.0,0.0,152.4,74.0,25.91,274.6,88.0,23.34,252.2,120.0,11.35,6.6,5.0,1.78,3.0
332-5084,100.0,0.0,176.9,128.0,30.07,102.8,56.0,8.74,213.7,84.0,9.62,10.5,2.0,2.84,4.0
332-5521,122.0,0.0,157.1,134.0,26.71,184.9,122.0,15.72,197.2,59.0,8.87,8.5,5.0,2.3,4.0
332-5582,21.0,0.0,91.9,109.0,15.62,198.4,100.0,16.86,171.7,125.0,7.73,13.0,7.0,3.51,2.0
332-5596,121.0,0.0,103.3,110.0,17.56,129.1,82.0,10.97,167.1,113.0,7.52,10.7,3.0,2.89,0.0
332-5820,145.0,0.0,224.2,89.0,38.11,314.9,121.0,26.77,182.9,121.0,8.23,16.1,3.0,4.35,1.0
332-5949,46.0,0.0,257.4,67.0,43.76,261.1,91.0,22.19,204.4,107.0,9.2,13.4,5.0,3.62,2.0
332-5964,56.0,0.0,146.1,57.0,24.84,196.2,97.0,16.68,310.1,110.0,13.95,9.2,3.0,2.48,0.0
332-6139,152.0,41.0,146.8,128.0,24.96,285.6,96.0,24.28,213.6,80.0,9.61,4.3,2.0,1.16,1.0
332-6181,129.0,0.0,334.3,118.0,56.83,192.1,104.0,16.33,191.0,83.0,8.59,10.4,6.0,2.81,0.0
332-6633,134.0,40.0,142.9,105.0,24.29,88.6,61.0,7.53,290.0,96.0,13.05,10.8,6.0,2.92,1.0
332-6934,78.0,0.0,149.7,119.0,25.45,182.2,115.0,15.49,261.5,126.0,11.77,9.7,8.0,2.62,0.0
332-6958,89.0,0.0,105.9,151.0,18.0,189.6,142.0,16.12,170.9,67.0,7.69,12.7,7.0,3.43,0.0
332-7391,25.0,0.0,242.6,69.0,41.24,209.0,117.0,23.23,219.7,82.0,9.89,14.4,6.0,3.89,2.0
332-7607,33.0,35.0,161.9,85.0,27.52,151.2,82.0,12.85,191.0,131.0,8.59,8.5,2.0,2.3,1.0
332-8103,91.0,31.0,273.0,78.0,46.41,215.5,98.0,18.32,104.7,114.0,4.71,9.6,2.0,2.59,1.0
332-8160,149.0,28.0,180.7,92.0,30.72,187.8,64.0,15.96,265.5,53.0,11.95,12.6,3.0,3.4,3.0
332-8764,80.0,0.0,202.4,118.0,34.41,260.2,67.0,22.12,177.4,112.0,7.98,9.2,5.0,2.48,3.0
332-9118,101.0,42.0,209.2,82.0,35.56,159.7,74.0,13.57,181.6,100.0,8.17,9.5,3.0,2.57,0.0
332-9446,130.0,0.0,154.0,95.0,26.18,205.9,106.0,17.5,233.7,75.0,10.52,12.9,1.0,3.48,1.0
332-9460,149.0,0.0,176.2,87.0,29.95,145.0,81.0,12.33,249.5,92.0,11.23,5.7,4.0,1.54,0.0
332-9525,80.0,31.0,166.4,92.0,28.29,238.3,74.0,20.26,150.7,84.0,6.78,10.7,4.0,2.89,4.0
332-9891,149.0,0.0,140.4,94.0,23.87,271.8,92.0,23.1,188.3,108.0,8.47,10.9,9.0,3.0,1.0
332-9896,71.0,0.0,211.2,70.0,35.9,252.7,122.0,21.48,225.8,104.0,10.16,12.3,3.0,3.32,0.0
333-1012,108.0,41.0,171.6,110.0,29.17,136.1,78.0,11.57,183.4,103.0,8.25,10.8,7.0,2.92,0.0
333-1967,70.0,0.0,170.2,98.0,28.93,155.2,102.0,13.19,228.6,76.0,10.29,15.0,2.0,4.05,1.0
333-2337,100.0,0.0,188.5,152.0,32.05,148.3,115.0,12.61,179.8,88.0,8.09,15.2,5.0,4.1,2.0
333-2611,55.0,0.0,194.1,121.0,33.0,176.6,110.0,15.01,302.8,136.0,13.63,7.0,7.0,1.89,2.0
333-2906,133.0,0.0,245.8,102.0,41.79,264.7,90.0,22.5,252.15,103.0,5.03,11.2,7.0,3.02,0.0
333-2964,94.0,0.0,136.2,114.0,23.15,165.1,118.0,14.03,137.9,71.0,6.21,9.6,5.0,2.59,0.0
333-3010,98.0,36.0,168.0,81.0,28.56,163.2,125.0,13.87,172.7,120.0,9.1,8.0,2.0,2.16,6.0
333-3221,73.0,0.0,214.3,145.0,36.43,268.5,135.0,22.82,241.2,92.0,10.85,10.8,13.0,2.92,1.0
333-3421,110.0,0.0,149.8,112.0,25.47,180.0,93.0,15.3,140.0,119.0,6.3,11.7,4.0,3.16,2.0
333-3447,100.0,25.0,246.6,94.0,41.92,141.4,112.0,12.02,189.8,109.0,8.54,13.0,5.0,3.51,1.0
333-3460,159.0,0.0,198.8,107.0,33.8,195.5,91.0,16.62,213.3,120.0,9.6,16.5,7.0,4.46,5.0
333-3531,160.0,0.0,176.2,90.0,29.95,196.0,115.0,23.23,263.9,95.0,11.88,9.2,4.0,2.48,1.0
333-3595,93.0,0.0,176.1,103.0,29.94,199.7,130.0,16.97,263.9,96.0,11.88,8.5,6.0,2.3,2.0
333-3704,115.0,0.0,245.2,105.0,41.68,159.0,109.0,13.52,229.9,74.0,10.35,7.2,8.0,1.94,0.0
333-4154,83.0,0.0,202.3,87.0,34.39,201.5,100.0,17.13,101.7,82.0,4.58,6.8,4.0,1.84,0.0
333-4492,135.0,0.0,190.9,44.0,32.45,161.4,109.0,13.72,231.9,100.0,10.44,8.4,2.0,2.27,1.0
333-4594,92.0,29.0,201.3,130.0,34.22,203.7,115.0,17.31,129.9,113.0,5.85,6.4,6.0,1.73,1.0
333-5101,140.0,0.0,120.3,108.0,20.45,240.4,84.0,20.43,216.4,74.0,9.74,7.7,3.0,2.08,4.0
333-5295,126.0,31.0,278.0,88.0,47.26,253.2,65.0,21.52,223.2,114.0,10.04,8.7,4.0,2.35,0.0
333-5430,98.0,31.0,121.0,105.0,20.57,218.9,98.0,18.61,226.7,110.0,10.2,12.0,1.0,3.24,1.0
333-5551,166.0,0.0,152.1,95.0,25.86,121.0,105.0,10.29,198.0,126.0,8.91,9.8,5.0,2.65,0.0
