Phone Number,Churn,Account Length,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,VMail Message,CustServ Calls,total_mins,total_calls,avg_mins_per_call,day_mins_share,eve_mins_share,night_mins_share,intl_mins_share,intl_call_rate,intl_charge_per_min,vmail_usage_rate,calls_per_day,peak_period_share,usage_time_std,dominant_usage_period,total_charge,charge_per_min
329-1955,0,108,293.0,88,49.81,160.6,101,13.65,143.9,87,6.48,10.0,6,2.7,0,2,597.5,276,2.1649,0.4904,0.2688,0.2408,0.0167,0.0217,0.27,0.0,2.5556,0.4904,81.6899,Day,72.64,0.1216
329-2045,0,96,144.0,102,24.48,224.7,73,19.1,227.7,91,10.25,10.0,7,2.7,0,1,596.4,266,2.2421,0.2414,0.3768,0.3818,0.0168,0.0263,0.27,0.0,2.7708,0.3818,47.4819,Night,56.53,0.0948
329-2204,0,99,179.1,93,30.45,238.3,102,20.26,165.7,96,7.46,10.6,1,2.86,33,2,583.1,291,2.0038,0.3072,0.4087,0.2842,0.0182,0.0034,0.2698,0.1134,2.9394,0.4087,38.6328,Evening,61.03,0.1047
329-2388,0,122,144.2,87,24.51,212.2,74,18.04,169.3,87,7.62,9.5,4,2.57,0,0,525.7,248,2.1198,0.2743,0.4037,0.322,0.0181,0.0161,0.2705,0.0,2.0328,0.4037,34.3861,Evening,52.74,0.1003
329-2786,1,161,194.2,106,33.01,249.4,105,21.2,254.9,129,11.47,12.9,1,3.48,0,1,698.5,340,2.0544,0.278,0.3571,0.3649,0.0185,0.0029,0.2698,0.0,2.1118,0.3649,33.5703,Night,69.16,0.099
329-2789,0,86,226.3,88,38.47,223.0,107,18.96,255.6,92,11.5,13.0,3,3.51,0,4,704.9,287,2.4561,0.321,0.3164,0.3626,0.0184,0.0105,0.27,0.0,3.3372,0.3626,17.945,Night,72.44,0.1028
329-2918,0,80,149.8,123,25.47,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94,0,2,667.5,273,2.4451,0.2244,0.4139,0.3616,0.0163,0.0256,0.2697,0.0,3.4125,0.4139,65.3335,Evening,62.76,0.094
329-3222,0,119,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,29,3,522.2,256,2.0398,0.2256,0.4918,0.2827,0.0146,0.0117,0.2697,0.1133,2.1513,0.4918,73.1821,Evening,50.55,0.0968
329-3458,0,118,91.5,125,15.56,219.9,113,18.69,229.0,99,10.31,12.7,8,3.43,39,2,540.4,337,1.6036,0.1693,0.4069,0.4238,0.0235,0.0237,0.2701,0.1157,2.8559,0.4238,76.8935,Night,47.99,0.0888
329-4391,0,193,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,0,1,416.1,308,1.351,0.4107,0.318,0.2713,0.0279,0.0097,0.2698,0.0,1.5959,0.4107,29.5249,Day,48.51,0.1166
329-4474,0,137,175.3,96,29.8,241.3,146,20.51,211.4,109,9.51,7.8,2,2.11,19,0,628.0,351,1.7892,0.2791,0.3842,0.3366,0.0124,0.0057,0.2705,0.0541,2.562,0.3842,33.0485,Evening,61.93,0.0986
329-5114,0,123,257.9,92,43.84,211.6,71,17.99,189.3,104,8.52,9.4,2,2.54,0,2,658.8,267,2.4674,0.3915,0.3212,0.2873,0.0143,0.0075,0.2702,0.0,2.1707,0.3915,34.9927,Day,72.89,0.1106
329-5377,0,74,102.7,89,17.46,149.3,100,12.69,188.1,114,8.46,11.0,5,2.97,0,0,440.1,303,1.4525,0.2334,0.3392,0.4274,0.025,0.0165,0.27,0.0,4.0946,0.4274,42.7593,Night,41.58,0.0945
329-5400,0,122,230.1,108,39.12,287.6,76,24.45,177.1,85,7.97,6.9,3,1.86,30,2,694.8,269,2.5829,0.3312,0.4139,0.2549,0.0099,0.0112,0.2696,0.1115,2.2049,0.4139,55.2653,Evening,73.4,0.1056
329-6144,0,81,154.5,84,26.27,216.2,91,18.38,229.8,82,10.34,13.7,3,3.7,0,1,600.5,257,2.3366,0.2573,0.36,0.3827,0.0228,0.0117,0.2701,0.0,3.1728,0.3827,40.1288,Night,58.69,0.0977
329-6191,0,41,239.8,110,40.77,221.9,115,18.86,189.1,100,8.51,7.3,1,1.97,37,2,650.8,325,2.0025,0.3685,0.341,0.2906,0.0112,0.0031,0.2699,0.1138,7.9268,0.3685,25.7123,Day,70.11,0.1077
329-6192,0,66,141.7,87,24.09,268.3,89,22.81,241.3,68,10.86,8.5,7,2.3,40,0,651.3,244,2.6693,0.2176,0.4119,0.3705,0.0131,0.0287,0.2706,0.1639,3.697,0.4119,66.6792,Evening,60.06,0.0922
329-6562,0,138,170.5,87,28.99,118.2,116,10.05,187.9,101,8.46,11.2,7,3.02,0,2,476.6,304,1.5678,0.3577,0.248,0.3943,0.0235,0.023,0.2696,0.0,2.2029,0.3943,36.277,Night,50.52,0.106
329-6603,1,65,129.1,137,21.95,228.5,83,19.42,208.8,101,9.4,12.7,6,3.43,0,4,566.4,321,1.7645,0.2279,0.4034,0.3686,0.0224,0.0187,0.2701,0.0,4.9385,0.4034,52.6316,Evening,54.2,0.0957
329-6731,1,123,123.2,104,20.94,190.0,117,16.15,170.3,95,7.66,12.9,5,3.48,0,4,483.5,316,1.5301,0.2548,0.393,0.3522,0.0267,0.0158,0.2698,0.0,2.5691,0.393,34.3238,Evening,48.23,0.0998
329-7102,0,63,132.9,122,22.59,67.0,62,5.7,160.4,121,7.22,9.9,2,2.67,0,3,360.3,305,1.1813,0.3689,0.186,0.4452,0.0275,0.0066,0.2697,0.0,4.8413,0.4452,47.9976,Night,38.18,0.106
329-7347,1,121,170.4,108,28.97,350.5,68,29.79,297.0,87,13.37,11.2,3,3.02,0,0,817.9,263,3.1099,0.2083,0.4285,0.3631,0.0137,0.0114,0.2696,0.0,2.1736,0.4285,92.4895,Evening,75.15,0.0919
329-8056,0,95,160.3,87,27.25,202.4,101,17.2,191.1,122,8.6,7.4,3,2.0,23,0,553.8,310,1.7865,0.2895,0.3655,0.3451,0.0134,0.0097,0.2703,0.0742,3.2632,0.3655,21.7897,Evening,55.05,0.0994
329-8115,0,86,145.7,88,24.77,191.0,129,16.24,215.5,82,9.7,11.3,7,3.05,16,0,552.2,299,1.8468,0.2639,0.3459,0.3903,0.0205,0.0234,0.2699,0.0535,3.4767,0.3903,35.4128,Night,53.76,0.0974
329-8436,0,160,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56,0,3,620.9,244,2.5447,0.157,0.4318,0.4112,0.0213,0.0164,0.2697,0.0,1.525,0.4318,95.0167,Evening,54.42,0.0876
329-8638,0,90,124.5,94,21.17,231.7,90,19.69,252.15,108,10.0,6.4,12,1.73,22,1,608.35,292,2.0834,0.2047,0.3809,0.4145,0.0105,0.0411,0.2703,0.0753,3.2444,0.4145,68.5621,Night,52.59,0.0864
329-8669,0,156,237.7,122,40.41,181.5,91,15.43,185.7,151,8.36,7.7,4,2.08,0,1,604.9,364,1.6618,0.393,0.3,0.307,0.0127,0.011,0.2701,0.0,2.3333,0.393,31.3052,Day,66.28,0.1096
329-8788,0,24,235.6,132,40.05,115.9,129,9.85,185.4,136,8.34,16.2,2,4.37,0,0,536.9,397,1.3524,0.4388,0.2159,0.3453,0.0302,0.005,0.2698,0.0,16.5417,0.4388,60.1088,Day,62.61,0.1166
329-9001,0,147,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,471.9,269,1.7543,0.3327,0.2185,0.4488,0.015,0.0223,0.2704,0.0,1.8299,0.4488,54.3506,Night,46.9,0.0994
329-9046,0,74,148.5,102,25.25,146.5,42,12.45,289.2,83,13.01,9.9,6,2.67,0,3,584.2,227,2.5736,0.2542,0.2508,0.495,0.0169,0.0264,0.2697,0.0,3.0676,0.495,81.8166,Night,53.38,0.0914
329-9067,1,100,249.8,109,42.47,242.4,106,20.6,231.8,78,10.43,11.6,4,3.13,0,0,724.0,293,2.471,0.345,0.3348,0.3202,0.016,0.0137,0.2698,0.0,2.93,0.345,9.0473,Day,76.63,0.1058
329-9364,0,148,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,0,1,706.5,320,2.2078,0.2859,0.3442,0.3699,0.0154,0.0094,0.2697,0.0,2.1622,0.3699,30.3906,Night,69.71,0.0987
329-9517,0,47,165.0,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,27,2,576.7,302,1.9096,0.2861,0.2207,0.4932,0.0134,0.0132,0.2701,0.0894,6.4255,0.4932,82.0143,Night,53.75,0.0932
329-9667,1,115,251.3,69,42.72,252.5,96,21.46,118.3,112,5.32,9.9,1,2.67,0,3,622.1,277,2.2458,0.404,0.4059,0.1902,0.0159,0.0036,0.2697,0.0,2.4087,0.4059,77.1363,Evening,72.17,0.116
329-9689,0,102,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12.0,8,3.24,0,3,615.3,237,2.5962,0.3644,0.3954,0.2402,0.0195,0.0338,0.27,0.0,2.3235,0.3954,50.5339,Evening,68.68,0.1116
329-9847,0,43,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,622.1,276,2.254,0.4043,0.3421,0.2537,0.0149,0.0145,0.2699,0.0,6.4186,0.4043,47.0857,Day,70.46,0.1133
330-1175,0,106,81.6,120,13.87,235.6,85,20.03,150.9,113,6.79,9.9,4,2.67,33,1,468.1,318,1.472,0.1743,0.5033,0.3224,0.0211,0.0126,0.2697,0.1038,3.0,0.5033,77.1282,Evening,43.36,0.0926
330-1627,0,87,125.0,99,21.25,235.3,81,20.0,215.3,95,9.69,10.2,7,2.75,33,2,575.6,275,2.0931,0.2172,0.4088,0.374,0.0177,0.0255,0.2696,0.12,3.1609,0.4088,58.7653,Evening,53.69,0.0933
330-1835,0,67,171.7,80,29.19,110.4,81,9.38,195.4,101,8.79,11.9,4,3.21,0,2,477.5,262,1.8225,0.3596,0.2312,0.4092,0.0249,0.0153,0.2697,0.0,3.9104,0.4092,43.8641,Night,50.57,0.1059
330-2635,1,57,115.0,65,19.55,122.3,96,10.4,245.0,75,11.03,6.4,1,1.73,0,0,482.3,236,2.0436,0.2384,0.2536,0.508,0.0133,0.0042,0.2703,0.0,4.1404,0.508,73.0395,Night,42.71,0.0886
330-2662,0,107,283.4,104,48.18,224.1,152,19.05,241.3,63,10.86,14.4,7,3.89,27,2,748.8,319,2.3473,0.3785,0.2993,0.3222,0.0192,0.0219,0.2701,0.0846,2.9813,0.3785,30.5089,Day,81.98,0.1095
330-2693,0,112,161.9,138,27.52,200.9,114,17.08,134.0,134,6.03,10.7,4,2.89,0,1,496.8,386,1.287,0.3259,0.4044,0.2697,0.0215,0.0104,0.2701,0.0,3.4464,0.4044,33.6031,Evening,53.52,0.1077
330-2849,0,43,241.9,101,41.12,129.4,121,11.0,264.8,104,11.92,5.9,3,1.59,0,1,636.1,326,1.9512,0.3803,0.2034,0.4163,0.0093,0.0092,0.2695,0.0,7.5814,0.4163,72.4728,Night,65.63,0.1032
330-2881,0,96,261.3,96,32.39,220.9,101,18.78,179.4,97,8.07,11.3,2,3.05,27,1,661.6,294,2.2503,0.395,0.3339,0.2712,0.0171,0.0068,0.2699,0.0918,3.0625,0.395,40.9512,Day,62.29,0.0942
330-3008,0,80,220.0,114,37.4,207.7,76,17.65,168.4,137,7.58,12.1,3,3.27,0,2,596.1,327,1.8229,0.3691,0.3484,0.2825,0.0203,0.0092,0.2702,0.0,4.0875,0.3691,26.9516,Day,65.9,0.1106
330-3429,0,183,116.7,92,19.84,213.8,112,18.17,214.3,112,9.64,9.7,6,2.62,0,2,544.8,316,1.7241,0.2142,0.3924,0.3934,0.0178,0.019,0.2701,0.0,1.7268,0.3934,56.2056,Night,50.27,0.0923
330-3589,0,137,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,0,467.2,339,1.3782,0.3733,0.3345,0.2922,0.0218,0.0147,0.2696,0.0,2.4745,0.3733,18.9564,Day,51.83,0.1109
330-4364,0,130,132.4,81,22.51,200.3,110,17.03,202.5,103,9.11,6.0,1,1.62,0,2,535.2,294,1.8204,0.2474,0.3743,0.3784,0.0112,0.0034,0.27,0.0,2.2615,0.3784,39.8524,Night,50.27,0.0939
330-4419,0,107,157.1,79,26.71,162.6,124,13.82,150.0,138,6.75,12.1,6,3.27,0,1,469.7,341,1.3774,0.3345,0.3462,0.3194,0.0258,0.0176,0.2702,0.0,3.1869,0.3462,6.3169,Evening,50.55,0.1076
330-4914,0,106,52.2,106,8.87,220.1,113,18.71,112.3,95,5.05,11.4,2,3.08,0,2,384.6,314,1.2248,0.1357,0.5723,0.292,0.0296,0.0064,0.2702,0.0,2.9623,0.5723,85.0718,Evening,35.71,0.0928
330-4978,1,80,268.7,120,45.68,301.0,147,25.59,167.0,140,7.52,5.8,1,1.57,0,2,736.7,407,1.8101,0.3647,0.4086,0.2267,0.0079,0.0025,0.2707,0.0,5.0875,0.4086,69.9311,Evening,80.36,0.1091
330-5168,0,63,214.9,86,36.53,198.2,89,16.85,170.8,139,7.69,8.2,5,2.21,49,0,583.9,314,1.8596,0.368,0.3394,0.2925,0.014,0.0159,0.2695,0.1561,4.9841,0.368,22.2653,Day,63.28,0.1084
330-5255,0,104,130.5,77,22.19,131.2,117,23.23,264.7,63,11.91,13.0,6,3.51,0,0,526.4,257,2.0482,0.2479,0.2492,0.5028,0.0247,0.0233,0.27,0.0,2.4712,0.5028,77.2791,Night,60.84,0.1156
330-5462,0,108,103.0,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,0,1,515.5,321,1.6059,0.1998,0.47,0.3302,0.0153,0.0093,0.2696,0.0,2.9722,0.47,69.6644,Evening,47.9,0.0929
330-5824,1,137,258.0,112,43.86,246.5,117,20.95,173.2,100,7.79,10.9,3,2.94,0,0,677.7,329,2.0599,0.3807,0.3637,0.2556,0.0161,0.0091,0.2697,0.0,2.4015,0.3807,46.0003,Day,75.54,0.1115
330-6165,0,99,95.4,105,16.22,207.2,101,17.61,136.0,117,6.12,5.6,5,1.51,0,1,438.6,323,1.3579,0.2175,0.4724,0.3101,0.0128,0.0155,0.2696,0.0,3.2626,0.4724,56.5936,Evening,41.46,0.0945
